datatype;member;accesstype;rule
journal_t;j_flags;r;EMBSAME\(j_state_lock\)
journal_t;j_flags;w;EMBSAME\(j_state_lock\)
journal_t;j_errno;r;EMBSAME\(j_state_lock\)
journal_t;j_errno;w;EMBSAME\(j_state_lock\)
journal_t;j_barrier_count;r;EMBSAME\(j_state_lock\)
journal_t;j_barrier_count;w;EMBSAME\(j_state_lock\)
journal_t;j_running_transaction;r;EMBSAME\(j_state_lock\)
journal_t;j_running_transaction;w;EMBSAME\(j_state_lock\)
journal_t;j_committing_transaction;r;EMBSAME\(j_state_lock\)
journal_t;j_committing_transaction;w;EMBSAME\(j_state_lock\)
journal_t;j_checkpoint_transactions;r;EMBSAME\(j_list_lock\)
journal_t;j_checkpoint_transactions;w;EMBSAME\(j_list_lock\)
journal_t;j_chkpt_bhs;r;EMBSAME\(j_checkpoint_mutex\)
journal_t;j_chkpt_bhs;w;EMBSAME\(j_checkpoint_mutex\)
journal_t;j_head;r;EMBSAME\(j_state_lock\)
journal_t;j_head;w;EMBSAME\(j_state_lock\)
journal_t;j_tail;r;EMBSAME\(j_state_lock\)
journal_t;j_tail;w;EMBSAME\(j_state_lock\)
journal_t;j_free;r;EMBSAME\(j_state_lock\)
journal_t;j_free;w;EMBSAME\(j_state_lock\)
journal_t;j_first;r;EMBSAME\(j_state_lock\)
journal_t;j_first;w;EMBSAME\(j_state_lock\)
journal_t;j_last;r;EMBSAME\(j_state_lock\)
journal_t;j_last;w;EMBSAME\(j_state_lock\)
journal_t;j_tail_sequence;r;EMBSAME\(j_state_lock\)
journal_t;j_tail_sequence;w;EMBSAME\(j_state_lock\)
journal_t;j_transaction_sequence;r;EMBSAME\(j_state_lock\)
journal_t;j_transaction_sequence;w;EMBSAME\(j_state_lock\)
journal_t;j_commit_sequence;r;EMBSAME\(j_state_lock\)
journal_t;j_commit_sequence;w;EMBSAME\(j_state_lock\)
journal_t;j_commit_request;r;EMBSAME\(j_state_lock\)
journal_t;j_commit_request;w;EMBSAME\(j_state_lock\)
journal_t;j_revoke;r;EMBSAME\(j_revoke_lock\)
journal_t;j_revoke;w;EMBSAME\(j_revoke_lock\)
journal_t;j_revoke_table;r;EMBSAME\(j_revoke_lock\)
journal_t;j_revoke_table;w;EMBSAME\(j_revoke_lock\)
journal_t;j_average_commit_time;r;EMBSAME\(j_revoke_lock\)
journal_t;j_average_commit_time;w;EMBSAME\(j_revoke_lock\)
journal_t;j_stats;r;EMBSAME\(j_history_lock\)
journal_t;j_stats;w;EMBSAME\(j_history_lock\)
transaction_t;t_journal;r;nolock
